id,value
id_198,18.701430365789026
id_199,61.081298797765356
id_200,24.31978328325883
id_201,23.38451960907312
id_202,64.4732893405276
id_203,10.424969680782993
id_204,9.254838993945732
id_205,11.52742915783757
id_206,8.253937672535947
id_207,2.1356696544751883
id_208,122.88177097475817
id_209,19.800142926209137
id_210,15.75964203289572
id_211,14.191953225550463
id_212,36.25869849115805
id_213,36.002273243982536
id_214,19.562337109059456
id_215,34.13381688191753
id_216,77.23619663559563
id_217,0.6279758830349804
id_218,13.06545837365176
id_219,32.82063685239817
id_220,15.637976082142524
id_221,12.464554843446573
id_222,113.56618179911507
id_223,12.703263555831764
id_224,16.73634407412327
id_225,61.747888712372834
id_226,16.414190451112212
id_227,20.13101647225769
id_228,9.691479903518822
id_229,3.6578058848996133
id_230,45.28603828505894
id_231,13.53166196687719
id_232,52.79555980546895
id_233,42.40754299573785
id_234,23.925181152204757
id_235,41.52468656162131
id_236,68.28218522683063
id_237,40.37711444634072
id_238,12.975459222188558
id_239,16.737877972025757
